front,back,tags
"Summarize the core idea of **Processes, Threads, and Scheduling**.","An operating system multiplexes hardware among many programs by abstracting **processes** (isolated address spaces with resources) and **threads** (units of execution within a process). The **scheduler** decides which runnable thread runs on which CPU core and for how long — balancing throughput, latency, and fairness.","processes-threads-and-scheduling|summary"
"What is **Virtual address**?","Address used by program","virtual-memory-and-io|terminology"
"What is **Physical address**?","Location in RAM","virtual-memory-and-io|terminology"
"What is **Page table**?","Maps virtual pages to physical frames","virtual-memory-and-io|terminology"
"What is **TLB**?","Cache of page table entries","virtual-memory-and-io|terminology"
"What is **Page fault**?","Access to unmapped or protected page triggers kernel handler","virtual-memory-and-io|terminology"
"What is **Major fault**?","Requires loading from disk","virtual-memory-and-io|terminology"
"What is **Minor fault**?","Mapping exists; no disk I/O","virtual-memory-and-io|terminology"
"What is **Copy-on-write (COW)**?","Share pages until write","virtual-memory-and-io|terminology"
"What is **mmap**?","Map file or anonymous memory into address space","virtual-memory-and-io|terminology"
"What is **Page cache**?","Kernel cache of file pages in memory","virtual-memory-and-io|terminology"
"What is **Swap**?","Evict cold pages to disk backing store","virtual-memory-and-io|terminology"
"What is **Direct I/O**?","Bypass page cache (`O_DIRECT`)","virtual-memory-and-io|terminology"
"Summarize the core idea of **Virtual Memory and I/O**.","Virtual memory gives each process an isolated, contiguous address space mapped by hardware and the OS onto physical RAM and backing store. Paging enables overcommit, copy-on-write, memory-mapped files, and efficient process creation. Block and file I/O move data between persistent storage and memory through layered kernel subsystems buffered, direct, or memory-mapped.","virtual-memory-and-io|summary"
"What is **TLS handshake**?","Negotiate crypto parameters and authenticate server","http-tls-and-quic|terminology"
"What is **Certificate chain**?","Leaf → intermediate → root CA","http-tls-and-quic|terminology"
"What is **SNI**?","Server Name Indication in TLS ClientHello","http-tls-and-quic|terminology"
"What is **ALPN**?","Application-Layer Protocol Negotiation (h2, http/1.1)","http-tls-and-quic|terminology"
"What is **AEAD**?","Authenticated encryption (e.g., AES-GCM, ChaCha20-Poly1305)","http-tls-and-quic|terminology"
"What is **mTLS**?","Mutual TLS — client and server certificates","http-tls-and-quic|terminology"
"What is **HOL blocking**?","Head-of-line blocking — one slow stream blocks others","http-tls-and-quic|terminology"
"What is **HTTP/2 frame**?","Length-type-flags-stream-id unit multiplexed on TCP","http-tls-and-quic|terminology"
"What is **QUIC**?","UDP transport with integrated TLS 1.3 and streams","http-tls-and-quic|terminology"
"What is **0-RTT**?","Early data on resumed QUIC/TLS connection — replay risk","http-tls-and-quic|terminology"
"Summarize the core idea of **HTTP, TLS, and QUIC**.","**HTTP** defines application-layer semantics for resources, methods, status codes, and headers — evolving from HTTP/1.1 (text, head-of-line blocking) to **HTTP/2** (binary framing, multiplexing on one TCP connection) to **HTTP/3** over **QUIC** (UDP-based, encrypted transport with stream multiplexing without TCP HOL blocking). **TLS** provides confidentiality, integrity, and authentication atop TCP (or within QUIC).","http-tls-and-quic|summary"
"What is **BGP**?","Inter-domain routing protocol exchanging path vectors","routing-load-balancing-and-congestion|terminology"
"What is **ASN**?","Autonomous System Number","routing-load-balancing-and-congestion|terminology"
"What is **Anycast**?","Same IP announced from multiple locations; route to nearest","routing-load-balancing-and-congestion|terminology"
"What is **L4 LB**?","Distributes based on IP/port (TCP/UDP)","routing-load-balancing-and-congestion|terminology"
"What is **L7 LB**?","Routes based on HTTP headers, paths, cookies","routing-load-balancing-and-congestion|terminology"
"What is **ECMP**?","Equal-cost multipath — hash flows across links","routing-load-balancing-and-congestion|terminology"
"What is **Consistent hashing**?","Minimal key redistribution when nodes change","routing-load-balancing-and-congestion|terminology"
"What is **CWND**?","Congestion window — sender's allowed in-flight data","routing-load-balancing-and-congestion|terminology"
"What is **RTT fairness**?","Flows with longer RTT get lower throughput under some CCAs","routing-load-balancing-and-congestion|terminology"
"What is **Bufferbloat**?","Excessive queueing delay in buffers","routing-load-balancing-and-congestion|terminology"
"What is **SYN proxy**?","LB completes handshake on behalf of backends","routing-load-balancing-and-congestion|terminology"
"Summarize the core idea of **Routing, Load Balancing, and Congestion**.","**IP routing** determines which path packets take across autonomous systems — from host default gateways to **BGP** (Border Gateway Protocol) exchanging reachability between ISPs and data centers. **Load balancers** distribute traffic across backends at Layer 4 (connection) or Layer 7 (HTTP). **TCP congestion control** algorithms adjust send rates when the network signals overload — affecting throughput and fairness for every large transfer and many RPC workloads.","routing-load-balancing-and-congestion|summary"
"What is **IP address**?","Network-layer host identifier","tcp-ip-fundamentals|terminology"
"What is **Port**?","Transport-layer multiplexing within host","tcp-ip-fundamentals|terminology"
"What is **Socket**?","(address, port, protocol) endpoint","tcp-ip-fundamentals|terminology"
"What is **SYN / ACK / FIN**?","TCP control flags","tcp-ip-fundamentals|terminology"
"What is **Three-way handshake**?","SYN → SYN-ACK → ACK establishes connection","tcp-ip-fundamentals|terminology"
"What is **RTT**?","Round-trip time","tcp-ip-fundamentals|terminology"
"What is **MSS**?","Maximum segment size","tcp-ip-fundamentals|terminology"
"What is **MTU**?","Maximum transmission unit on link","tcp-ip-fundamentals|terminology"
"What is **TTL**?","IP time-to-live (hop limit)","tcp-ip-fundamentals|terminology"
"What is **DNS**?","Distributed naming system","tcp-ip-fundamentals|terminology"
"What is **NAT**?","Network address translation","tcp-ip-fundamentals|terminology"
"What is **TIME_WAIT**?","Post-close state ensuring delayed segments drain","tcp-ip-fundamentals|terminology"
"Summarize the core idea of **TCP/IP Fundamentals**.","The Internet protocol suite layers abstractions from physical links to applications. **IP** provides best-effort datagram delivery with addressing and routing. **TCP** adds reliable, ordered byte-stream delivery with flow control and congestion control atop IP. Together they underpin nearly every microservice RPC, database connection, and message queue protocol in production.","tcp-ip-fundamentals|summary"
"What is **Crash-stop (fail-stop)**?","A process runs correctly until it halts permanently; no recovery, no arbitrary behavior","distributed-system-models|terminology"
"What is **Crash-recovery**?","A process may crash and restart; volatile state may be lost; stable storage may survive","distributed-system-models|terminology"
"What is **Omission fault**?","A process or channel fails to send or deliver a message","distributed-system-models|terminology"
"What is **Byzantine fault**?","A process may behave arbitrarily: lie, equivocate, or collude","distributed-system-models|terminology"
"What is **Asynchronous system**?","No upper bound on message delay or processing time; clocks are not trustworthy for coordination","distributed-system-models|terminology"
"What is **Synchronous system**?","Known upper bounds on message delay and step duration; timeouts are meaningful","distributed-system-models|terminology"
"What is **Partial synchrony**?","The system is asynchronous for some period, then becomes synchronous after an unknown global stabilization time (GST)","distributed-system-models|terminology"
"What is **Failure detector**?","A module that provides `suspect(p)` / `trust(p)` hints; must eventually be accurate in partial synchrony","distributed-system-models|terminology"
"What is **FLP impossibility**?","No deterministic consensus in asynchronous crash-stop systems, even with one faulty process","distributed-system-models|terminology"
"What is **GST (Global Stabilization Time)**?","Unknown time after which partial synchrony holds","distributed-system-models|terminology"
"Summarize the core idea of **Distributed System Models**.","A **distributed system model** is the set of assumptions an algorithm or architecture makes about process behavior, network behavior, and timing. Every correctness argument—safety, liveness, fault tolerance—holds *only relative to a model*. Choosing the wrong model is one of the most expensive mistakes in production: you may deploy an algorithm proven correct under crash-stop assumptions into an environment with Byzantine actors, unbounded delays, or crash-recovery with lost in-memory state.","distributed-system-models|summary"
"What is **Suspect / trust**?","Local state: process `p` is suspected crashed or trusted alive","failure-detectors|terminology"
"What is **Perfect failure detector (P)**?","Strong completeness + strong accuracy: eventually every crashed process is permanently suspected by every correct process, and no correct process is ever suspected","failure-detectors|terminology"
"What is **Imperfect failure detector**?","Violates strong completeness and/or strong accuracy","failure-detectors|terminology"
"What is **◇P (eventually perfect)**?","Strong completeness + **eventual** strong accuracy: after some time, correct processes are never suspected","failure-detectors|terminology"
"What is **◊P (weakly perfect)**?","Strong completeness + weak accuracy","failure-detectors|terminology"
"What is **Strong completeness**?","Eventually, every crashed process is permanently suspected by **every** correct process","failure-detectors|terminology"
"What is **Weak completeness**?","Eventually, every crashed process is suspected by **some** correct process","failure-detectors|terminology"
"What is **Strong accuracy**?","No correct process is **ever** suspected","failure-detectors|terminology"
"What is **Weak accuracy**?","Eventually, **some** correct process is never suspected","failure-detectors|terminology"
"What is **Heartbeat**?","Periodic message indicating a process is alive","failure-detectors|terminology"
"What is **Phi (φ) accrual**?","Adaptive suspicion score based on heartbeat inter-arrival statistics","failure-detectors|terminology"
"What is **Gossip / epidemic protocol**?","Peers periodically exchange membership and suspicion state; information spreads in O(log N) rounds","failure-detectors|terminology"
"What is **SWIM**?","Scalable Weakly-consistent Infection-style Membership protocol (used by Serf, Consul)","failure-detectors|terminology"
"What is **False positive**?","Suspecting a live (correct) process—accuracy violation","failure-detectors|terminology"
"What is **False negative**?","Failing to suspect a crashed process—completeness violation","failure-detectors|terminology"
"Summarize the core idea of **Failure Detectors**.","A **failure detector** is an oracle that outputs **suspicion** about whether remote processes have crashed. In a distributed system, no observer can know with certainty whether a silent peer is failed or merely slow—the fundamental indistinguishability that underlies the FLP impossibility result. Failure detectors make that uncertainty explicit: they trade **completeness** (eventually suspecting every crashed process) against **accuracy** (never suspecting correct processes, or doing so only tem","failure-detectors|summary"
"What is **Idempotent operation**?","Repeating the operation does not change outcome beyond the first successful application","idempotency|terminology"
"What is **Idempotency key**?","Client-supplied unique token (often UUID) identifying a single logical operation","idempotency|terminology"
"What is **Dedup store**?","Durable record mapping keys to request status and cached response","idempotency|terminology"
"What is **Natural idempotency**?","Idempotency inherent in the operation (e.g., `SET balance = 100`)","idempotency|terminology"
"What is **Idempotency token**?","Synonym for idempotency key; used by Stripe, AWS APIs","idempotency|terminology"
"What is **At-least-once delivery**?","Message or request may arrive one or more times","idempotency|terminology"
"What is **Effectively exactly-once**?","At-least-once transport + idempotent processing","idempotency|terminology"
"What is **Request fingerprint**?","Hash of method, path, body used when client cannot supply a key","idempotency|terminology"
"What is **In-flight record**?","Dedup entry marked `processing` before side effects complete","idempotency|terminology"
"What is **Compare-and-swap (CAS)**?","Conditional write that succeeds only if version matches; enables idempotent upserts","idempotency|terminology"
"Summarize the core idea of **Idempotency**.","Idempotency is the property that makes **safe retries** possible in distributed systems. An operation is idempotent if executing it once or multiple times produces the same observable effect as executing it exactly once. Because networks drop responses, clients time out, and message brokers deliver at-least-once, duplicate execution is not an edge case — it is the default assumption for any mutating path that can be retried.","idempotency|summary"
"What is **Partial failure**?","Some components fail while others continue; the system is neither fully up nor fully down","partial-failure|terminology"
"What is **Total failure**?","All replicas or all paths fail; often easier to detect","partial-failure|terminology"
"What is **Fail-fast**?","Detect failure quickly and return an error rather than block indefinitely","partial-failure|terminology"
"What is **Fail-silent**?","A crashed node stops sending messages (crash-stop model)","partial-failure|terminology"
"What is **Gray failure**?","A component is reachable but degraded; may violate SLOs without triggering health checks","partial-failure|terminology"
"What is **Split brain**?","Partitioned nodes each believe they are authoritative, risking conflicting writes","partial-failure|terminology"
"What is **Blast radius**?","Scope of impact when a component fails","partial-failure|terminology"
"What is **At-least-once delivery**?","Message or operation may be delivered more than once; requires idempotency","partial-failure|terminology"
"What is **Exactly-once semantics**?","Achieved in practice via idempotent operations + deduplication, not pure network magic","partial-failure|terminology"
"What is **Backpressure**?","Signaling upstream to slow ingestion when downstream is overloaded","partial-failure|terminology"
"What is **Bulkhead**?","Isolating resource pools so one tenant or dependency cannot exhaust shared capacity","partial-failure|terminology"
"Summarize the core idea of **Partial Failure**.","Partial failure is the defining characteristic that separates distributed systems from single-machine programs. In a distributed system, some components can fail while others continue operating — a database replica may crash, a network link may drop, or a service may become slow without crashing. The rest of the system must detect ambiguity, preserve safety where possible, and degrade gracefully rather than collapse entirely.","partial-failure|summary"
"What is **Safety**?","A property stating that something bad never happens. Violations are detectable in a **finite** prefix of an execution.","safety-and-liveness|terminology"
"What is **Liveness**?","A property stating that something good eventually happens. Violations require an **infinite** execution that never satisfies the property.","safety-and-liveness|terminology"
"What is **Invariant**?","A condition that holds in every reachable state of a correct system; often the formal expression of a safety property.","safety-and-liveness|terminology"
"What is **Mutual exclusion**?","At most one process occupies the critical section at any time.","safety-and-liveness|terminology"
"What is **Deadlock-freedom**?","If some process requests the critical section, some request is eventually granted (system-level progress).","safety-and-liveness|terminology"
"What is **Starvation-freedom / bounded bypass**?","Every requesting process eventually enters; equivalently, there is a bound on how many times others may bypass a waiter.","safety-and-liveness|terminology"
"What is **Consensus**?","Agreement (all correct processes decide the same value), validity (only proposed values are decided), and **termination** (every correct process eventually decides).","safety-and-liveness|terminology"
"What is **Termination**?","A liveness property: the protocol does not run forever without delivering a result to correct participants.","safety-and-liveness|terminology"
"What is **Linearizability**?","A safety condition for concurrent objects: operations appear to occur at some instant between invocation and response, respecting sequential semantics.","safety-and-liveness|terminology"
"What is **Fencing token**?","A monotonically increasing token issued with a lease; storage rejects stale holders even if they believe they still hold the lock—restores safety when liveness heuristics fail.","safety-and-liveness|terminology"
"Summarize the core idea of **Safety and Liveness**.","Distributed systems fail in ways that single-machine programs do not. Processes crash, networks delay and drop messages, and clocks disagree. When you design coordination primitives—locks, leader election, consensus, transactional commit—you are really choosing which **correctness properties** the system will uphold under those failures.","safety-and-liveness|summary"
"What is **Node**?","A machine or virtual instance hosting one or more processes.","what-is-a-distributed-system|terminology"
"What is **Replica**?","A copy of data or service state on a distinct node.","what-is-a-distributed-system|terminology"
"What is **Partition (network)**?","A split where some nodes cannot communicate with others, though each side may still serve clients.","what-is-a-distributed-system|terminology"
"What is **Quorum**?","A minimum number of replicas that must participate in a read or write to ensure consistency properties.","what-is-a-distributed-system|terminology"
"What is **Idempotency**?","Property where performing an operation multiple times has the same effect as once—essential for safe retries.","what-is-a-distributed-system|terminology"
"What is **Linearizability**?","Strong consistency model: operations appear to execute atomically in some sequential order consistent with real-time ordering.","what-is-a-distributed-system|terminology"
"What is **Eventual consistency**?","Replicas converge given no new writes; reads may return stale data temporarily.","what-is-a-distributed-system|terminology"
"What is **Safety**?","Invariant that bad states never occur (e.g., no lost committed writes).","what-is-a-distributed-system|terminology"
"What is **Liveness**?","Guarantee that progress eventually occurs (e.g., every request eventually gets a response).","what-is-a-distributed-system|terminology"
"What is **CAP theorem**?","In the presence of a network partition, a system must choose between linearizability (Consistency in Gilbert & Lynch's formulation) and Availability for every request.","what-is-a-distributed-system|terminology"
"What is **Shared-nothing**?","Architecture where nodes do not share disks or memory; coordination is explicit.","what-is-a-distributed-system|terminology"
"Summarize the core idea of **What Is a Distributed System?**.","A **distributed system** is a collection of autonomous computing elements—processes running on separate machines connected by a network—that cooperate to achieve a shared goal while presenting, to users or other systems, the illusion of a single coherent service. The defining characteristic is not geographic spread or microservice count; it is **independent failure**: components can fail, slow down, or become unreachable while others continue operating. That property transforms every design deci","what-is-a-distributed-system|summary"
"What is **Event**?","An instantaneous occurrence: a local step, a send, or a receive at one process","lamport-clocks|terminology"
"What is **Happens-before (→)**?","Irreflexive partial order: same-process order, send-before-receive, plus transitivity","lamport-clocks|terminology"
"What is **Concurrent events**?","*a* and *b* are concurrent if neither *a* → *b* nor *b* → *a* (written *a* ∥ *b*)","lamport-clocks|terminology"
"What is **Logical clock**?","A function *C* mapping each event *e* to an integer *C(e)*","lamport-clocks|terminology"
"What is **Clock condition**?","If *a* → *b*, then *C(a) < C(b)*","lamport-clocks|terminology"
"What is **Lamport timestamp**?","The value *C(e)* assigned by a Lamport clock to event *e*","lamport-clocks|terminology"
"What is **Total order extension**?","Order all events by `(C(e), process_id(e))` lexicographically to break ties among concurrent events","lamport-clocks|terminology"
"What is **Causal order**?","The partial order →; respects true cause-and-effect chains","lamport-clocks|terminology"
"What is **Scalar clock**?","Lamport clocks are scalar—one integer per event, not a vector per process","lamport-clocks|terminology"
"Summarize the core idea of **Lamport Clocks**.","In a distributed system, there is no global clock that all processes agree on. Physical timestamps from NTP-synchronized wall clocks can disagree by milliseconds—or jump backward after corrections—so you cannot reliably infer causal order from `time.now()` alone. Leslie Lamport's 1978 paper, [""Time, Clocks, and the Ordering of Events in a Distributed System""](https://lamport.azurewebsites.net/pubs/time-clocks.pdf), introduced a **logical clock** mechanism: each process maintains a monotonically ","lamport-clocks|summary"
"What is **Event**?","An identifiable occurrence: send, receive, local step, or persistent write.","ordering-of-events|terminology"
"What is **Happens-before (\(\rightarrow\))**?","Causal precedence relation; if \(a \rightarrow b\), observers must not act as if \(b\) preceded \(a\).","ordering-of-events|terminology"
"What is **Concurrent events (\(\parallel\))**?","Neither \(a \rightarrow b\) nor \(b \rightarrow a\); no causal link.","ordering-of-events|terminology"
"What is **Causal order / causal consistency**?","Operations respect happens-before; concurrent operations may be seen in different orders by different observers.","ordering-of-events|terminology"
"What is **Total order**?","For any two events \(a, b\) in the scope, either \(a\) precedes \(b\) or \(b\) precedes \(a\) in the declared sequence.","ordering-of-events|terminology"
"What is **Partial order**?","Some event pairs are ordered; others remain concurrent.","ordering-of-events|terminology"
"What is **Logical clock**?","A counter or vector assigned to events such that if \(a \rightarrow b\) then \(\text\{clock\}(a) < \text\{clock\}(b)\) (Lamport); vector clocks strengthen this for concurrency detection.","ordering-of-events|terminology"
"What is **Global sequence number**?","A monotonically increasing identifier assigned by a central or consensus-backed authority defining total order.","ordering-of-events|terminology"
"What is **Partition key**?","Field used to route related events to the same ordered shard (e.g., Kafka partition).","ordering-of-events|terminology"
"What is **Per-partition ordering**?","Broker preserves order of writes as observed by a single consumer reading one partition sequentially.","ordering-of-events|terminology"
"What is **Idempotent consumer**?","Consumer that can safely process duplicate or reordered deliveries when combined with deduplication keys.","ordering-of-events|terminology"
"What is **Fencing / generation**?","Token preventing stale leaders from appending out-of-order or duplicate entries after failover.","ordering-of-events|terminology"
"Summarize the core idea of **Ordering of Events**.","In a distributed system, there is no single shared clock that all processes agree on. Yet applications constantly need to answer: *Did event A happen before event B?* Should all observers see the same sequence of operations? Can we replay history deterministically?","ordering-of-events|summary"
"What is **Physical time / wall-clock time**?","Time from a real-time clock, usually mapped to UTC","physical-and-logical-time|terminology"
"What is **Logical time**?","A counter or vector used to order events by causality, not by wall clock","physical-and-logical-time|terminology"
"What is **Clock drift**?","The rate at which a clock diverges from true time (parts per million)","physical-and-logical-time|terminology"
"What is **Clock skew**?","The instantaneous difference between two clocks at a moment in time","physical-and-logical-time|terminology"
"What is **Offset**?","Estimated correction applied to align a clock with a reference","physical-and-logical-time|terminology"
"What is **NTP (Network Time Protocol)**?","UDP-based protocol (RFC 5905) for synchronizing clocks over IP networks","physical-and-logical-time|terminology"
"What is **Stratum**?","NTP hierarchy level; stratum 0 is reference clock, stratum 1 syncs to it, etc.","physical-and-logical-time|terminology"
"What is **PTP (Precision Time Protocol)**?","IEEE 1588 protocol for high-precision synchronization, often sub-millisecond on LAN","physical-and-logical-time|terminology"
"What is **Leap second**?","Occasional one-second adjustment to UTC to track Earth's rotation","physical-and-logical-time|terminology"
"What is **Smearing**?","Gradually spreading a leap-second adjustment over hours to avoid backward steps","physical-and-logical-time|terminology"
"What is **TrueTime**?","Spanner's API returning interval `[earliest, latest]` bounding actual time","physical-and-logical-time|terminology"
"What is **Uncertainty bound (ε)**?","Maximum half-width of TrueTime interval; commit-wait uses multiples of ε","physical-and-logical-time|terminology"
"What is **Monotonic clock**?","OS clock that never decreases (`CLOCK_MONOTONIC`); immune to NTP steps but not comparable across nodes","physical-and-logical-time|terminology"
"What is **Hybrid Logical Clock (HLC)**?","Combines physical and logical components; used in CockroachDB and similar systems","physical-and-logical-time|terminology"
"Summarize the core idea of **Physical and Logical Time**.","Distributed systems need a notion of **when** events happened. **Physical time**—wall-clock timestamps from real-time clocks—is intuitive and cheap to read, but it is **not a reliable primitive for correctness** across nodes. Clocks drift, synchronize imperfectly, and can jump backward during corrections or leap-second handling. **Logical time**—Lamport clocks, vector clocks, hybrid logical clocks—orders events by causality without trusting synchronized hardware.","physical-and-logical-time|summary"
"What is **Vector clock**?","Tuple \(V = [v_1, \ldots, v_n]\) where \(v_i\) counts events at \(P_i\) that are causally known at the current event.","vector-clocks|terminology"
"What is **Domination / less-than**?","\(V_1 \leq V_2\) iff \(\forall i: v_\{1i\} \leq v_\{2i\}\) and \(\exists j: v_\{1j\} < v_\{2j\}\). Denotes strict causal precedence in consistent comparisons.","vector-clocks|terminology"
"What is **Concurrent events**?","\(V_1 \parallel V_2\) iff neither \(V_1 \leq V_2\) nor \(V_2 \leq V_1\) (and \(V_1 \neq V_2\)).","vector-clocks|terminology"
"What is **Equal vectors**?","\(V_1 = V_2\) component-wise—same causal frontiers in the modeled system.","vector-clocks|terminology"
"What is **Causal delivery**?","Deliver message \(m\) only after all messages causally preceding \(m\) have been delivered.","vector-clocks|terminology"
"What is **Version vector**?","Per-**replica** (or per-node) counters attached to a **data object**, tracking which versions from each replica have been observed—used for replica divergence, not global event order.","vector-clocks|terminology"
"What is **Dot clock**?","Compressed vector clock using dotted version numbers; reduces size for sparse causality.","vector-clocks|terminology"
"What is **Matrix clock**?","Records knowledge of other processes' knowledge; stronger but \(O(n^2)\) space.","vector-clocks|terminology"
